Market Name,Market URL,Description of Market,Products in Market
Large Law Firm Initiatives in Value,https://www.gartner.com/reviews/market/large-law-firm-initiatives-in-value,"Large law firms are organizations with 100 or more lawyers licensed to practice law in one or more jurisdictions. Most large law firms are organized as partnerships and comprise fee-earning partners (owners), associates (lawyers who may qualify for partnership in the future) and other professionals. They also include additional staff who support law practice and business operations. The prevailing business model is billing by the hour, and even firms that offer alternative fee arrangements typically continue to track hours billed. Large firms may have a single office or many, including offices on multiple continents.","['Wilson Sonsini Goodrich & Rosati Large Law Firm Initiatives in Value Services', 'Baker Donelson Large Law Firm Initiatives in Value Services']"
Last-Mile Delivery Technology Solutions,https://www.gartner.com/reviews/market/last-mile-delivery-technology-solutions,"Gartner defines last-mile delivery (LMD) technology solutions as specialized, customer-centric transportation management solutions that focus on managing the delivery process by which a consumer and the products they order come together. These solutions provide capabilities for routing deliveries to consumer homes, with some solutions extending the delivery service capabilities offered to support options like store, curbside and locker box pickup as well as return options.
LMD technology solutions provide a digitized experience to a shipper’s customer, allowing end consumers to route, book, track and communicate changes to their orders through a digital channel. LMD solutions can support different shipping models as they incorporate vehicle routing, visibility and optimization capabilities for asset-based shippers, those that own last-mile delivery and associated vehicles, and access to a carrier network for non-asset-based shippers.","['Locus Dispatch Management Platform', 'Shipsy Last-Mile Delivery Software', 'FarEye', 'LogiNext Mile', 'Descartes Route Planner', 'Aptean Routing & Scheduling', 'Beans.ai', 'Bringg', 'DispatchTrack', 'Dista Deliver', 'GreenMile', 'OneRail', 'Onfleet', 'ShipTrack']"
Lead Generation Software,https://www.gartner.com/reviews/market/lead-generation-software,"Lead generation software automates the process of attracting, capture and distribution of lead data. It sits on the top of the sales funnel, pulling leads from various online channels like email, social media, and landing pages etc. The software offers features that can create personalized interactive content, such as landing pages, chatbots, or surveys, facilitating active engagement with leads. It narrows down sales team’s focus to the customers who are most likely to buy a product or service. Typically, lead generation software is integrated with other platforms to eliminate the need to constantly switch browsers. It is highly advantageous for sales team as it minimizes time wasted on cold leads, and helps to develop a stronger customer base.","['Lead Forensics', 'Unbounce', 'LeadBoxer', 'Callpage', 'Dealfront', 'Jebbit', 'Landingi', 'LeadQuizzes', 'OptinMonster', 'Picreel']"
Legal Billing Software,https://www.gartner.com/reviews/market/legal-billing-software,"Legal billing software ensures accurate billing and improves overall efficiency in legal practice management. It facilitates the tracking of billable hours, management of client billing, handling of expense tracking, and often includes features for financial reporting and invoicing. This type of software is designed specifically for law firms and legal professionals.","['Bill4Time', 'Juris', 'Amberlo', 'BigTime', 'Clio', 'PracticePanther', 'Sage Timeslips', 'Smokeball Bill']"
Legal Document Drafting Software,https://www.gartner.com/reviews/market/legal-document-drafting-software,"Legal document drafting software is a specialized digital tool designed for legal professionals, enabling them to create, edit, and manage legal documents efficiently. It typically includes template libraries, document assembly, collaboration features, and document management capabilities to streamline the document creation process while ensuring accuracy and compliance with legal standards. In addition, it prioritizes data security, ensuring that sensitive legal information is protected from unauthorized access or breaches.","['BoostDraft', 'CoCounsel', 'Litera Desktop', 'ClauseBase', 'Henchman', 'Lexis+', 'Wealth Docx']"
Legal Document Management Solutions,https://www.gartner.com/reviews/market/legal-document-management-solutions,"Legal Document Management Solutions are used by law firms and law professionals to store and organize legal documents and streamline document workflow which in turn aid in faster operations. A centralized document management system helps in creating continuity and consistency within an organization.This is achieved through integration with other applications such as office suites, emails, and other legal applications. The systems are designed for automated file sorting, storage, and retrieval of electronically-stored legal documents with advanced search tools. Additionally, legal document management solutions ensure security and access control of the documents shared for collaboration.","['OpenText eDOCS', 'iManage Work', 'LogicalDoc', 'Krystal DMS', 'WorldOx', 'Intapp Documents', 'NetDocuments']"
Legal Research Software,https://www.gartner.com/reviews/market/legal-research-software,"Legal Research Software is a tool designed to assist legal professionals in conducting legal research and accessing relevant legal information. It provides access to comprehensive legal databases, case laws, statutes, regulations, legal journals, and other legal resources, as well as tools for searching, filtering, and citing legal documents to help users refine their queries and find precise results. It also integrates with other legal tools and platforms such as case and document management systems and legal writing sofware, which allows for seamless transfer of information and enhances overall productivity. All in all, Legal Research Software helps lawyers and legal researchers find relevant legal information to support their legal arguments, stay updated on legal developments, and make informed decisions.","['Bloomberg Law', 'Lexis+', 'Clio', 'Westlaw Edge', 'CoCounsel', 'Fastcase', 'Lexis Advance Quicklaw', 'Westlaw Precision']"
Legal Transaction Management Software,https://www.gartner.com/reviews/market/legal-transaction-management-software,"Legal Transaction Management (LTM) Software is designed to help legal professionals streamline and optimize the processes involved in managing the complex and often time-consuming process of legal transactions. It accomplishes this by providing a centralized platform for storing, organizing, and managing all documents related to a transaction. Additionally, it includes features for tracking tasks, creating reports, and conducting analytical evaluations. In essence, LTM software empowers legal professionals to efficiently navigate complex transactions, ensuring document accuracy, effective task coordination, and compliance with legal requirements, enhancing overall efficiency and precision.","['Bundledocs', 'Closd', 'Dealcloser', 'HighQ', 'Legatics', 'Litera Transact', 'Naya Software', 'Opus 2', 'SimplyAgree', 'iManage Closing Folders']"
"Life Insurance Policy Administration Systems, Europe",https://www.gartner.com/reviews/market/life-insurance-policy-administration-systems-europe,"Gartner's view of the market is focused on transformational technologies or approaches delivering on the future needs of end-users. It is not focused on the market as it is today.

Gartner defines the Life Insurance Policy Administration Systems market as the purchase of Policy Administration Systems (PAS) that enable life insurers or pension providers to manage the entire life cycle of life insurance policies or pension products. In this research, we will use the term ""life insurance policy administration systems"" to cover life insurance and pension products. Some of these systems will focus on specific insurance segments only, such as individual life or group pensions, while others are capable of managing different lines of business (LOBs).","['INSIS', 'msg.Life Factory', 'Lumera', 'Keylane Axon', 'L4All', 'INsurance2', 'Solife', 'Sapiens CoreSuite for Life & Pension', 'Wynsure', 'TCS BaNCS', 'msg.Life Group', 'DXC Assure', 'SOUL ITSurance Platform', 'COOG', 'Lifelink+', 'Lifetime', 'msg.PIA', 'Sonata', 'AI PAS', 'Accenture Life Insurance & Annuity Platform (ALIP)', 'AdInsure', 'Aquila Administrator', 'Compass', 'Composer Life', 'F2100', 'FNZ One', 'FNZ X-Hub', 'GoTrex (NIS)', 'Imago', 'Life Insurance Solution', 'LifePRO Digital Suite', 'Majesco Policy Life', 'NdexInsure', 'Oracle Insurance Policy Administration', 'PASS_LIFE', 'Plexus', 'Profit Life&Pension', 'SAP Policy Management for Insurance', 'SS/G', 'Tia Solutions', 'eBaoTech LifeSystem Suite']"
"Life Policy Administration Systems, Americas",https://www.gartner.com/reviews/market/life-policy-admin-systems-americas,"A life insurance policy administration system is a software that enables insurers to manage a range of group or individual life, annuity and pension products. A PAS supports the entire life insurance value chain, from product and business configuration through new business processing, policy issuance, ongoing policy administration and claims. A life insurance PAS consists of a set of core components.
* Product Development and Maintenance
* Quotes/Illustrations
* New Business
* Manual Underwriting
* Billing
* Customer Management
* Ongoing Policy Administration
* Claims","['LifePRO', 'FAST', 'Accenture Life Insurance & Annuity Platform (ALIP)', 'Flexible Insurance Marketing, Management, and Administration System - FIMMAS', 'Oracle Insurance Policy Administration for Life and Annuity', 'VPAS Platform', 'DXC Assure', 'GIAS', 'QLAdmin', 'Majesco L&A and Group Core Suite', 'V3', 'EIS PolicyCore', 'TCS BaNCS', 'Andesa Financial Administration System (AFAS)', 'Policy Administration', 'AdminSuite', 'Digital Insurance Platform', 'InsurancePlus Individual Life and Health Administration System', 'LifeOffice.net', 'NGIN', 'QWIKcoverage', 'Sapiens CoreSuite for Life & Pension', 'Sapiens Platform for Life & Annuities', 'Solartis', 'Titanium', 'V3locity', 'Wynsure', 'iPipeline SS/G', 'iWorks']"
Life Science E-Clinical Platforms,https://www.gartner.com/reviews/market/life-science-e-clinical-platforms,"E-Clinical Platforms Enable Interoperative Trial Management: Gartner defines an e-clinical platform as an integrated suite of technologies connected in a platform architecture that provides services and solutions to manage clinical trial planning and execution. Modern e-clinical platforms are typically cloud-native environments, built either as SaaS, application platform as a service (aPaaS) or a combination. Integrated suites of point solutions exist primarily to support the setup and conduct of clinical trials (see  Hype Cycle for Life Science Research and Development, 2021). These capabilities consist of integrated solutions used for:
Trial planning, forecasting and feasibility; Protocol design; Electronic data capture (EDC); eConsent; Clinical trial management systems (CTMS); Randomization and trial supply management systems (RTSM); Risk-based and centralized monitoring (RBM); Clinical data repository (CDR); Electronic Clinical outcomes assessment (eCOA); Statistical Compute Environment (SCE); Trial analytics and Reports; Other capabilities that support trial operations.","['Medidata Clinical Cloud', 'Clario', 'Datatrak Enterprise Cloud', 'Fusion eClinical Suite', 'INTIENT', 'IQVIA Orchestrated Clinical Trials', 'LifeSphere Clinical', 'PPD Preclarus', 'Signant SmartSignals', 'Veeva Vault Clinical Suite', 'Viedoc', 'Xcellerate Suite']"
Life Science Regulatory Information Management Solutions,https://www.gartner.com/reviews/market/life-science-regulatory-information-management-solutions,"RIM Solutions Allow Organizations to Scale and Speed Products to Market: RIM solutions are a set of key capabilities that a life science company needs to manage the regulatory approval and maintenance of a life science product for commercial use. Each RIM solution capability addresses a specific aspect of the process to gain and maintain regulatory authorization in one or more regulated markets.
RIM solutions can be stand-alone point solutions or part of a RIM platform, and either deployed on-premises or in the cloud. Much investment in these solutions from life science companies has involved the shift to cloud deployments (primarily public cloud deployments) over the last five years.
RIM capabilities consist of solutions used for:
- Product registration management
- Regulatory intelligence and regulatory requirements management
- Product detail and product information management
- Dossier management
- Submission content management, including authoring, development and approval
- Product label and promotional material development
- Health authority interactions, communications and commitment tracking
- Submission planning, production and archival","['OpenText Documentum', 'Accel for RIM', 'CARA', 'Calyx RIM', 'IQVIA RIM Smart', 'LifeSphere Regulatory', 'MasterControl Regulatory Excellence', 'Regulatory Affairs Lifecycle Management (ReALM)', 'Regulatory Information Management System (RIMS)', 'Samarind RMS']"
Litigation Management Systems,https://www.gartner.com/reviews/market/litigation-management-systems,"Litigation Management Systems aid in the organisation and automation of all work connected to various cases in the legal department. The primary functions include managing notices, client information including payments, litigation and hearings data on a centralized platform; maintaining calendar of all important dates and deadlines; generating on-demand reports & MIS. These solutions empower law firms and corporate legal departments by managing all litigation data, accessible at one place.","['Legistify Litigation Management', 'Lex Mantra']"
Live Commerce in Retail,https://www.gartner.com/reviews/market/live-commerce-in-retail,"Live commerce in retail includes capabilities to interact with remote customers through either one-to-one or one-to-many interactions in real time. Functionalities include interaction execution (for example, video calls, co-browsing, interactive chat) and performance data for optimizing live commerce experiences.
Integrations with back-end systems enable real-time product information and check-out. Deployment of live commerce takes place through front-end integration with customer touchpoints, including commerce platforms, mobile apps, online marketplaces and social networks. Live commerce can be conducted by store associates (one-to-one interactions), from a dark store or warehouse by the dedicated employees in that particular location (one-to-one and one to many), from anywhere in collaboration with influencers and key opinion leaders (one to many), and from anywhere, through virtual promoters.","['Agora Interactive Live Streaming', 'Confer With', 'Aploze', 'Emplifi Social Commerce Cloud', 'GOLIVE', 'Powerfront']"
Load Board Software,https://www.gartner.com/reviews/market/load-board-software,"Load board software refers to an online platform or system that connects shippers and freight brokers with carriers or trucking companies. The software functions as a dynamic digital marketplace for freight transportation, serving as a pivotal tool for freight brokers, truck owners, shippers, and logistics managers It software offers a real-time posting system, complemented by a mobile application for on-the-go access, enabling users to seamlessly post and search for loads.The software plays a pivotal role in the logistics and transportation industry, facilitating more efficient freight matching and helping to keep trucks loaded and moving.","['uShip', 'Trucker Tools Smart Capacity', '123LoadBoard', 'DAT One', 'TQL Carrier Dashboard', 'Transflo', 'Truckstop']"
Load Testing Tools,https://www.gartner.com/reviews/market/load-testing-tools,"Load Testing Tools determine the performance of a system, software product, or software application under real-life based load conditions and resource utilization levels. The goal of load testing is to improve performance bottlenecks and to ensure stability and smooth functioning of software application before deployment.
Through specialized testing software,various scenarios are simulated to test the system’s behavior under different load conditions. The software places a simulated “load” or demand from multiple sources on applications to ensure it remains stable during operation and peak load.
It enables test analysts to evaluate application performance and maximize the operating capacity of the application.","['BlazeMeter Continuous Testing Platform', 'CyPerf', 'OpenText LoadRunner Professional', 'Akamai CloudTest', 'Loadview', 'SmartBear ReadyAPI', 'WebLOAD', 'SmartBear LoadNinja', 'Tricentis NeoLoad']"
Loan Management System,https://www.gartner.com/reviews/market/loan-management-system,"A Loan Management System is a digital platform which assist lenders in automating and streamlining entire loan life cycle including loan servicing, reporting, customer care, syndication and customer monitoring.
It acts as a centralized data storage unit which is used for retaining and managing customer information, creating new loans, and keeping a record of all financial statements for the lenders. Thus, it offers an integrated overview of all the different processes of the lending lifecycle. This unified platform also has built in analytic modules that can be utilized for providing useful analysis and insights into automating the entire loan cycle as well as comprehensive reports on the cash flow.
Primarily used by banks and credit unions, it provides easily deployable and scalable integrated loan management solution to traditional paper-based method of servicing loans.","['FinnOne Neo Loan Management System', 'Lending Factory', 'Cloudbankin', 'EbixCash Lending Management System', 'Arttha', 'Finflux Loan Management System', 'HES FinTech Loan Management Software', 'Jainam Software', 'Loan Management Solution', 'LoansNeo']"
Loyalty Program Vendors,https://www.gartner.com/reviews/market/loyalty-program-vendors,"Loyalty marketing is used to increase wallet share and retention among existing customers, and to attract new customers. Common loyalty marketing platforms help drive retention and acquisition of customers through loyalty cards, membership rewards, discount clubs, advocacy, promotions/offers, referrals and other tactics. These platforms may also enable general-purpose personalization through the construction of a unified customer profile and drive decision-making capabilities around targeted offers. Managed services play a significant role in large enterprises for technology deployment as well as ongoing loyalty operations such as program management and execution.","['Emarsys Customer Engagement Platform', 'Microsoft Dynamics 365 Commerce', 'Oracle CrowdTwist Loyalty and Engagement']"
MDM External Services,https://www.gartner.com/reviews/market/mdm-external-services,"Gartner defines the MDM external service provider (ESP) market as a subset of the broader data and analytics services market that is composed of consulting, implementation and managed services for master data governance. MDM ESPs provide strategic, tactical and operational support to organizations engaging in MDM programs. MDM services include the formulation of strategies, business cases, roadmaps, business and technical metrics, governance organizations and processes, information life cycle discovery, and program and project planning. Services may be used to assist in the selection, installation and configuration of commercial off-the-shelf (COTS) MDM software solutions, or for the provision of proprietary offerings that focus on specific business cases and outcomes.","['D3Clarity MDM External Services', 'Amplifi Master Data Management (MDM) External Services', 'Camelot ITLab Master Data Management (MDM) External Services', 'Acuvate Analytics and Database Services', 'Apgar MDM External Service Providers', 'HighPoint Solutions Master Data Management (MDM) External Services', 'Wipro Master Data Management (MDM) External Services', 'IBM Master Data Management (MDM) External Services', 'AST Corporation Master Data Management (MDM) External Services', 'Adastra Master Data Management (MDM) External Services', 'Affecto Master Data Management (MDM) External Services', 'Capgemini Master Data Management (MDM) External Services', 'Comma Group Master Data Management (MDM) External Services', 'Deloitte Master Data Management (MDM) External Services', 'Entity Group Master Data Management (MDM) External Services', 'HCLTech Master Data Management (MDM) External Services', 'Hub Designs Master Data Management (MDM) External Services', 'Jibes Master Data Management (MDM) External Services', 'Knowledgent Master Data Management (MDM) External Services', 'LTI Master Data Management (MDM) External Services', 'LiquidHub Master Data Management (MDM) External Services', 'LumenData Master Data Management (MDM) External Services', 'Luxoft Master Data Management (MDM) External Services', 'Nexer MDM External Services', 'OpenText Alloy (Legacy)', 'PwC Master Data Management (MDM) External Services', 'Softpath System Master Data Management (MDM) External Services', 'Utopia Master Data Management (MDM) External Services', 'Virtusa Corporation Master Data Management (MDM) External Services', 'parsionate Master Data Management (MDM) External Services']"
MES/MOM Implementation Providers,https://www.gartner.com/reviews/market/mes-mom-implementation-providers,MES/MOM Implementation Providers,"['Accenture MES/MOM Implementation Providers', 'HCLTech MES/MOM Implementation Providers', 'TCS MES/MOM Implementation Providers', 'Brock Solutions MES/MOM Implementation Providers', 'Capgemini MES/MOM Implementation Providers', 'Actemium MES/MOM Implementation Providers', 'Deloitte MES/MOM Implementation Providers']"
MPM and MbM Technology for Process Manufacturing,https://www.gartner.com/reviews/market/mpm-and-mbm-technology-for-process-manufacturing,"Manufacturing process management (MPM) and model-based manufacturing (MbM) bridge the gap between the virtual design realm and the physical product/process manufacturing realm as part of an organized software architecture. These technologies are not only applied within the four walls of a plant or a corporation's multiple manufacturing sites. They can be applied holistically, with workflow to manage multiple recipe variants and labeling change/requirements, and/or handle certificates of compliance (CoCs) and certificates of analysis (CoAs) from suppliers.","['Siemens Opcenter Execution', 'Wonderware', 'aspenONE', 'FactoryTalk CPGSuite', 'BIOVIA', 'PSI Metals', 'The Savigent Software Suite']"
Machine Learning Infrastructure as a Service,https://www.gartner.com/reviews/market/ml-infrastructure-as-a-service,"Machine learning Infrastructure as a Service (ML IaaS) is an infrastructure delivery model that provisions virtualized or bare-metal infrastructure resources that are performance optimized for compute-intensive ML and DNN workloads . The ML IaaS market is characterized by core capabilities, including hardware-accelerated, high-performance compute platforms, usually augmented by accelerator technologies like GPU, FPGA or custom processors like Google TPU. Due to the unique nature of hardware-involved DNN frameworks (such as TensorFlow, pyTorch, Caffe and MxNet), they need to be reconfigured and integrated with appropriate libraries to take full advantage of ML IaaS capabilities.","['Amazon EC2 P3 Instances', 'Cloud GPU', 'IBM bare-metal GPU (x86 based servers)', 'Azure NC', 'Cloud TPU (Beta)', 'Valohai']"
Managed Detection and Response Services,https://www.gartner.com/reviews/market/managed-detection-and-response-services,"Managed detection and response (MDR) services provide customers with remotely delivered security operations center (SOC) functions. These functions allow organizations to rapidly detect, analyze, investigate and actively respond through threat disruption and containment. They offer a turnkey experience, using a predefined technology stack that commonly covers endpoint, network, logs and cloud. Telemetry is analyzed within the provider’s platform using a range of techniques. This process allows for investigation by experts skilled in threat hunting and incident management, who deliver outcomes that businesses can act upon.","['Sophos Managed Detection and Response Services', 'SentinelOne Vigilance Respond', 'Falcon Complete', 'Alert Logic Managed Detection and Response Services', 'ReliaQuest Managed Detection and Response Services', 'Arctic Wolf Managed Detection and Response Services', 'Rapid7 Managed Detection and Response Services', 'Secureworks Taegis ManagedXDR', 'Red Canary Managed Detection and Response Services', 'Cybereason Managed Detection and Response Services', 'Expel Managed Detection and Response Services', 'Critical Start Managed Detection and Response Services', 'eSentire Managed Detection and Response Services', 'WithSecure Countercept Managed Detection and Response Services', 'Deepwatch Managed Detection and Response Services', 'SISA ProACT Managed Detection and Response Services', 'Binary Defense Managed Detection and Response Services', 'Ontinue ION MXDR', 'CYBEROO Managed Detection and Response Services', 'Kroll Responder', 'ThreatDown Managed Detection and Response', 'Atos Managed Detection and Response Services', 'Mandiant Managed Detection and Response Services', 'UnderDefense Managed Detection and Response Services', 'MAXX MDR', 'LMNTRIX Active Defense', 'ActZero Managed Detection and Response Services', 'Unit 42 MDR Service', 'CylanceGUARD', 'BitLyft AIR Platform', 'Pondurance Managed Detection and Response Services', 'Proficio Managed Detection and Response Services', 'BlueVoyant Managed Detection and Response Services', 'Ackcent Managed Detection and Response Services', 'AgileBlue Managed Detection and Response Services', 'CYREBRO', 'Critical Insight Managed Detection and Response Services', 'CTM360 Managed Detection and Response Services', 'MAXX SIEM (Legacy)', 'Percept XDR', 'Nview MDR', 'Bitdefender Managed Detection and Response Services', 'Obrela Security Industries Managed Detection and Response Services', 'Trustwave Managed Detection and Response Services', 'CyberProof Managed Detection and Response Services', 'ESET Managed Detection and Response Services', 'LogicHub MDR+ (Legacy)', 'Vertek Managed Detection and Response Services', 'Morphick Managed Detection and Response Services', 'Sattrix Managed Detection and Response Services', 'A2-SOC', 'Adarma Managed Detection and Response Services', 'SafeAeon Managed Detection and Response Services', 'VisionX MDR Platform', 'Check Point Infinity Global Services', 'Cisco Active Threat Analytics (ATA) (Legacy)', 'Cisco Managed Detection and Response Services', 'DruvStar Managed Detection and Response Services', 'Ntirety Managed Detection and Response Services', 'Vigilant Asia Managed Detection and Response Services', 'CyCraft Managed Detection and Response Services', 'Cyderes Managed Detection and Response Services', 'Driven Technologies Managed Detection and Response Services', 'Fidelis Managed Detection and Response Services', 'GuidePoint Security Managed Detection and Response Services', 'Heimdal Managed Detection and Response Services', 'Inspira Enterprise Managed Detection and Response Services', 'Kudelski Security Managed Detection and Response Services', 'MAXX Network', 'NCC Group Managed Detection and Response Services', 'Netrix Global Managed Detection and Response Services', 'OpenText Managed Detection and Response Services', 'Orange Cyberdefense Managed Detection and Response Services', 'Raytheon Foreground Security Virtual Security Operations Center (V-SOC) service (Legacy)', 'SharkStriker Managed Detection and Response Services', 'mnemonic Managed Detection and Response Services', 'nLighten']"
"Managed Hybrid Cloud Hosting, Asia/Pacific",https://www.gartner.com/reviews/market/managed-hybrid-cloud-hosting-asia-pacific,"Gartner defines managed hybrid cloud hosting (MHCH) as a standardized, productized offering that combines a cloud-enabled system infrastructure platform — consisting of a pool of compute, network and storage hardware — with cloud infrastructure framework software to facilitate self-service and rapid provisioning. In addition to offering this service from cloud infrastructure located in its own data center, the provider must offer a choice of using a hyperscale public infrastructure as a service (IaaS) provider or an Asian country-specific, large-scale IaaS provider. The infrastructure platform should be located both in a service provider's data center for the cloud-enabled system infrastructure (CESI) platform and in an Asia country for the public IaaS platform. It also requires the use of a standardized deployment across all service provider customers and leverages a single codebase.","['AWS Cloud Services', 'Tata Communications Managed Cloud and Hosting Services', 'Microsoft Azure Cloud Services', 'Rackspace Cloud Hosting Services', 'Sify Cloud Hosting Services', 'eNlight', 'NTT Communications Cloud Hosting Services', 'NxtGen Cloud Hosting Services', 'CtrlS Cloud Hosting Services', 'Dimension Data Cloud Hosting Services', 'BT\xa0Cloud Hosting Services', 'Lumen Multi-Cloud Management', 'Fujitsu Cloud Hosting Services', 'Orange Business Cloud Hosting Services', 'Singtel Cloud Hosting Services', 'Telstra Cloud Hosting Services', 'Azure Stack HCI', 'DXC Hybrid Cloud and Multicloud', 'EC cloud', 'Gcore CDN', 'IBM Cloud Hosting Services', 'IIJ Cloud Hosting Services', 'InKnowTech Managed Hybrid Cloud Hosting, Asia/Pacific', 'MTN Cloud for Business', 'SBA Managed Hybrid Cloud Hosting, Asia/Pacific']"
"Managed Hybrid Cloud Hosting, Europe",https://www.gartner.com/reviews/market/managed-hybrid-cloud-hosting-europe,"Gartner defines managed hybrid cloud hosting as a standardized, productized hosting offering that combines a cloud-enabled system infrastructure (CESI) platform — consisting of a pool of compute, network and storage hardware — and cloud infrastructure framework software to facilitate self-service and rapid provisioning. It also includes documented and standardized management for either a hyperscale public IaaS platform or a European-country-specific, large-scale IaaS platform in a local language with managed services. The infrastructure platform should be located both in a service provider's data center for the CESI platform as well as in a European country for the public IaaS platform. The geographic focus of this market is Europe.","['Lumen Data Center Services', 'Rackspace Managed Hybrid Cloud Hosting Services', 'Claranet Managed Hybrid Cloud Hosting Services', 'Sungard Managed Hybrid Cloud Hosting Services', 'NTT Managed Hybrid Cloud Hosting Services', 'Enterprise Cloud', 'Interoute Managed Hybrid Cloud Hosting Services', 'Leaseweb Managed Hybrid Cloud Hosting Services', 'KPN Managed Hybrid Cloud Hosting Services', 'Vodafone Managed Hybrid Cloud Hosting Services', 'plusserver Managed Hybrid Cloud Hosting Services', 'Lumen Hybrid Cloud', 'Fujitsu Managed Hybrid Cloud Hosting Services', 'BT Managed Hybrid Cloud Hosting Services', 'Azure Stack HCI', 'DXC Hybrid Cloud and Multicloud', 'Gcore CDN']"
"Managed Hybrid Cloud Hosting, North America",https://www.gartner.com/reviews/market/managed-hybrid-cloud-hosting-north-america,"Gartner defines managed hybrid cloud hosting as a standardized, productized hosting offering that combines a cloud-enabled system infrastructure (CESI) platform — consisting of a pool of compute, network and storage hardware — and cloud infrastructure framework software to facilitate self-service and rapid provisioning. It also either includes documented and standardized management for a hyperscale public infrastructure as a service (IaaS) platform or for an IaaS platform with managed services. The geographic focus of this market is North America.","['Data Intensity Private Cloud for Oracle Applications and Technology', 'Rackspace Private Cloud Powered by Vmware', 'Rackspace OpenStack Private Cloud', 'Dell Hybrid Cloud\xa0System for Microsoft', 'Rackspace Managed Hybrid Cloud Hosting Services', 'Hostway Hybrid Cloud', 'Data Intensity Hybrid Cloud for Oracle Applications and Technology', '11:11 Cloud', 'Bell Backup & Restore', 'Data Intensity Public Cloud for Oracle Applications and Technology', 'INAP Multicloud', 'Navisite Hybrid Cloud Hosting', 'Peak 10 Hybrid Cloud', 'SingleHop Managed Hybrid Cloud', 'VMware Hybrid Cloud Hosting', 'Hosting Hybrid Cloud', 'Savvis VPDC (Legacy)', 'Atlantic.net Managed Hybrid Cloud Hosting Services', 'CORTX (Legacy)', 'CentriLogic Managed Cloud Services', 'DXC Cloud Platforms', 'DXC Hybrid Cloud and Multicloud', 'Gcore CDN', 'Hybrid Infrastructure as a Service', 'INAP Managed AWS', 'INAP Private Cloud', 'QTS Managed Cloud', 'SADA Cloud Solutions', 'Sungard Managed Hybrid Cloud Hosting Services', 'ViaWest Managed Amazon Web Services (AWS)']"
"Managed IoT Connectivity Services, Worldwide",https://www.gartner.com/reviews/market/managed-iot-connectivity-services,"Gartner defines managed IoT connectivity services as a market that enables connectivity, data collection and analysis, and additional decision services that are necessary for connected solutions. For large organizations, managed IoT connectivity services are normally delivered fully managed, including dedicated help desk and project and service management capabilities. For midsize and small organizations, they are frequently delivered as a self-service provided through an IoT connectivity management portal, including Level 2 and Level 3 back-office support.","['Vodafone Managed IoT Connectivity Services', 'Verizon Managed IoT Connectivity Services', 'AT&T Managed IoT Connectivity Services', 'KORE Wireless Managed IoT Connectivity Services', 'Itron Managed IoT Connectivity Services', 'Telefonica Managed IoT Connectivity Services', 'Pelion Managed IoT Connectivity Services', 'Deutsche Telekom Managed IoT Connectivity Services', 'Soracom Managed IoT Connectivity Services', 'Orange Business Managed IoT Connectivity Services', 'Tata Communications Managed IoT Connectivity Services', 'Wireless Logic Managed IoT Connectivity Services', 'Airtel Managed IoT Connectivity Services', 'BICS Managed IoT Connectivity Services', 'T-Mobile Managed IoT Connectivity Services', 'Telenor Managed IoT Connectivity Services', 'Sierra Wireless Managed IoT Connectivity Services', 'Telit Cinterion Managed IoT Connectivity Services', 'Eseye Managed IoT Connectivity Services', 'KPN Managed IoT Connectivity Services', '1NCE Managed IoT Connectivity Services', 'Aeris Managed IoT Connectivity Services', 'NTT Global Managed IoT Connectivity Services', 'Cisco Managed IoT Connectivity Services', 'Claro Managed IoT Connectivity Services', 'A1 Digital Managed IoT Connectivity Services', 'ORBCOMM Managed IoT Connectivity Services', 'BT Managed IoT Connectivity Services', 'Tele2 IoT Managed IoT Connectivity Services', 'Rogers Managed IoT Connectivity Services', 'Cubic Telecom Managed IoT Connectivity Services', 'Tech Mahindra Managed IoT Connectivity Services', 'Airlinq Managed IoT Connectivity Services', 'Singtel Managed IoT Connectivity Services', 'Accenture Managed IoT Connectivity Services', 'NTT DOCOMO Managed IoT Connectivity Services', 'Sigfox Managed IoT Connectivity Services', 'Elisa Managed IoT Connectivity Services', 'Swisscom Managed IoT Connectivity Services', 'Truphone Managed IoT Connectivity Services', 'Atos Managed IoT Connectivity Services', 'Telecom Italia Managed IoT Connectivity Services', 'OptConnect Managed IoT Connectivity Services', 'TELUS Managed IoT Connectivity Services', 'Ooredoo Managed IoT Connectivity Services', '1oT Managed IoT Connectivity Services', 'Bell Canada Managed IoT Connectivity Services', 'CheerIoT Managed IoT Connectivity Services', 'China Telecom Managed IoT Connectivity Services', 'China Unicom Managed IoT Connectivity Services', 'Emnify Managed IoT Connectivity Services', 'Fujitsu Managed IoT Connectivity Services', 'Landis+Gyr Managed IoT Connectivity Services', 'MTN Managed IoT Connectivity Services', 'Olivia Managed IoT Connectivity Services', 'Onomondo Managed IoT Connectivity Services', 'PCCW Global Managed IoT Connectivity Services', 'Semtech Managed IoT Connectivity Services', 'Teal Managed IoT Connectivity Services', 'Telecom26 Managed IoT Connectivity Services', 'Telia Company Managed IoT Connectivity Services', 'Telstra Managed IoT Connectivity Services', 'Twilio Managed IoT Connectivity Services', 'floLive Managed IoT Connectivity Services', 'iConnect IoT', 'stc Managed IoT Connectivity Services']"
